Date,Cash,Credit,Total,Date,Checker,Actual_total
12/14/11,2190,1361.16,3551.16,Wednesday,TRUE,3551.16
12/15/11,2306,822.19,3128.19,Thursday,TRUE,3128.19
12/16/11,2836,1444.14,4280.14,Friday,TRUE,4280.14
12/17/11,4723,1784.59,6507.59,Saturday,TRUE,6507.59
12/18/11,5431,2341.66,7772.66,Sunday,TRUE,7772.66
12/19/11,2898,936.4,3834.4,Monday,TRUE,3834.4
12/20/11,2963,1360.29,4323.29,Tuesday,TRUE,4323.29
12/21/11,2511,1564.05,4075.05,Wednesday,TRUE,4075.05
12/22/11,2691,1807.33,4498.33,Thursday,TRUE,4498.33
12/23/11,3114,1285.2,4399.2,Friday,TRUE,4399.2
12/24/11,854,480.57,1334.57,Saturday,TRUE,1334.57
12/25/11,1976,1280.72,3256.72,Sunday,TRUE,3256.72
12/26/11,2804,931.82,3735.82,Monday,TRUE,3735.82
12/27/11,2480,1758.06,4238.06,Tuesday,TRUE,4238.06
12/28/11,2875,951.69,3826.69,Wednesday,TRUE,3826.69
12/29/11,2120,1298.19,3418.19,Thursday,TRUE,3418.19
12/30/11,2685,1619.8,4304.8,Friday,TRUE,4304.8
12/31/11,1504,811.14,2315.14,Saturday,TRUE,2315.14
01/01/12,2183,1153.89,3336.89,Sunday,TRUE,3336.89
01/02/12,2250,1229.74,3479.74,Monday,TRUE,3479.74
01/03/12,2697,925.54,3622.54,Tuesday,TRUE,3622.54
01/04/12,2224,1097.7,3321.7,Wednesday,TRUE,3321.7
01/05/12,2387,686.05,3073.05,Thursday,TRUE,3073.05
01/06/12,2353,1452.58,3805.58,Friday,TRUE,3805.58
01/07/12,4050,2031.53,6081.53,Saturday,TRUE,6081.53
01/08/12,4961,2629.78,7590.78,Sunday,TRUE,7590.78
01/09/12,1773.63,717.55,2491.18,Monday,TRUE,2491.18
01/10/12,1943,1099.4,3042.4,Tuesday,TRUE,3042.4
01/11/12,1669,974.66,2643.66,Wednesday,TRUE,2643.66
01/12/12,1883.95,735.87,2619.82,Thursday,TRUE,2619.82
01/13/12,2577,1465.97,4042.97,Friday,TRUE,4042.97
01/14/12,3385,1795.62,5180.62,Saturday,TRUE,5180.62
01/15/12,5748.65,2433,8181.65,Sunday,TRUE,8181.65
01/16/12,1765,787.83,2552.83,Monday,TRUE,2552.83
01/17/12,1530,719.11,2249.11,Tuesday,TRUE,2249.11
01/18/12,1768.8,1068.4,2837.2,Wednesday,TRUE,2837.2
01/19/12,1975,924.34,2899.34,Thursday,TRUE,2899.34
01/20/12,2955,1726.84,4681.84,Friday,TRUE,4681.84
01/21/12,2567,1707.75,4274.75,Saturday,TRUE,4274.75
01/22/12,6080,2613.34,8693.34,Sunday,TRUE,8693.34
01/23/12,1803,466.13,2269.13,Monday,TRUE,2269.13
01/24/12,1976,806.57,2782.57,Tuesday,TRUE,2782.57
01/25/12,2263,984.46,3247.46,Wednesday,TRUE,3247.46
01/26/12,2344,763.48,3107.48,Thursday,TRUE,3107.48
01/27/12,2774,1208.96,3982.96,Friday,TRUE,3982.96
01/28/12,3757,1385.02,5142.02,Saturday,TRUE,5142.02
01/29/12,6341,2751.14,9092.14,Sunday,TRUE,9092.14
01/30/12,1740,816.64,2556.64,Monday,TRUE,2556.64
01/31/12,1942,877.33,2819.33,Tuesday,TRUE,2819.33
02/01/12,2079,928.8,3007.8,Wednesday,TRUE,3007.8
02/02/12,1829,732.75,2561.75,Thursday,TRUE,2561.75
02/03/12,3097,1540.1,4637.1,Friday,TRUE,4637.1
02/04/12,3950,1652.41,5602.41,Saturday,TRUE,5602.41
02/05/12,5467,2031.53,7498.53,Sunday,TRUE,7498.53
02/06/12,2242,1038.44,3280.44,Monday,TRUE,3280.44
02/07/12,1859,963.41,2822.41,Tuesday,TRUE,2822.41
02/08/12,2042,803.16,2845.16,Wednesday,TRUE,2845.16
02/09/12,2438,907.28,3345.28,Thursday,TRUE,3345.28
02/10/12,3050,2193.08,5243.08,Friday,TRUE,5243.08
02/11/12,3306,1951.73,5257.73,Saturday,TRUE,5257.73
02/12/12,5647,3612.71,9259.71,Sunday,TRUE,9259.71
02/13/12,2139,797.57,2936.57,Monday,TRUE,2936.57
